Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,Costo,Visibilidad
sierras-lg2b,Sierra para Madera,Sierras,Medida,LG2B 0800,,,,,,,,LG2B 0800,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2B/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2B/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG2B/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LG2B",Sierra para Madera LG2B - Freud | WoodTools,Sierra para Madera LG2B. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lg2b,,,Medida,LG2B 1100,,,,,,,,LG2B 1100,,no,no,,,,,,si,,
sierras-lu2a,Sierra para Madera Blanda y Dura,Sierras,Medida,LU2A 1600,,,,,,,,LU2A 1600,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2A/1.jpg"" alt=""Sierra para Madera Blanda y Dura"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2A/2.jpg"" alt=""Sierra para Madera Blanda y Dura"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera Blanda y Dura</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera blanda y dura a favor/contra de la veta</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU2A",Sierra para Madera Blanda y Dura LU2A - Freud | WoodTools,Sierra para Madera Blanda y Dura LU2A. Madera blanda y dura a favor/contra de la veta Consultanos por medidas y stock.,Freud,si,,
sierras-lu2a,,,Medida,LU2A 2100,,,,,,,,LU2A 2100,,no,no,,,,,,si,,
sierras-lu2b,Sierra para Madera,Sierras,Medida,LU2B 0700,,,,,,,,LU2B 0700,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2B%202100/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2B%202100/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2B%202100/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU2B",Sierra para Madera LU2B - Freud | WoodTools,Sierra para Madera LU2B. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lu2b,,,Medida,LU2B 1200,,,,,,,,LU2B 1200,,no,no,,,,,,si,,
sierras-lu2c,Sierra para Madera,Sierras,Medida,LU2C 1200,,,,,,,,LU2C 1200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2C%201200/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2C%201200/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU2C%201200/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU2C",Sierra para Madera LU2C - Freud | WoodTools,Sierra para Madera LU2C. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lu2c,,,Medida,LU2C 1500,,,,,,,,LU2C 1500,,no,no,,,,,,si,,
sierras-lu1d,Sierra para Madera,Sierras,Medida,LU1D 0500,,,,,,,,LU1D 0500,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1D/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1D/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1D/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera (Multipunto)</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU1D",Sierra para Madera LU1D - Freud | WoodTools,Sierra para Madera LU1D. Madera (Multipunto) Consultanos por medidas y stock.,Freud,si,,
sierras-lu1f,Sierra para Madera,Sierras,Medida,LU1F 0600,,,,,,,,LU1F 0600,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1F/1.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1F/2.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU1F/3.jpg"" alt=""Sierra para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU1F",Sierra para Madera LU1F - Freud | WoodTools,Sierra para Madera LU1F. Madera Consultanos por medidas y stock.,Freud,si,,
